Data,Dia,Mes,Trimestre,Ano
2022-01-01,sábado,maio,1,2022
2022-01-02,terça-feira,junho,1,2022
2022-01-03,quarta-feira,junho,1,2022
2022-01-04,domingo,junho,1,2022
2022-01-05,terça-feira,abril,1,2022
2022-01-06,segunda-feira,setembro,1,2022
2022-01-07,sexta-feira,maio,1,2022
2022-01-08,segunda-feira,setembro,1,2022
2022-01-09,sexta-feira,junho,1,2022
2022-01-10,domingo,novembro,1,2022
2022-01-11,terça-feira,fevereiro,1,2022
2022-01-12,sábado,setembro,1,2022
2022-01-13,terça-feira,junho,1,2022
2022-01-14,sexta-feira,outubro,1,2022
2022-01-15,quarta-feira,dezembro,1,2022
2022-01-16,domingo,março,1,2022
2022-01-17,domingo,março,1,2022
2022-01-18,quinta-feira,outubro,1,2022
2022-01-19,quinta-feira,dezembro,1,2022
2022-01-20,terça-feira,março,1,2022
2022-01-21,terça-feira,novembro,1,2022
2022-01-22,domingo,fevereiro,1,2022
2022-01-23,sábado,agosto,1,2022
2022-01-24,segunda-feira,dezembro,1,2022
2022-01-25,terça-feira,junho,1,2022
2022-01-26,segunda-feira,outubro,1,2022
2022-01-27,segunda-feira,outubro,1,2022
2022-01-28,sexta-feira,janeiro,1,2022
2022-02-01,terça-feira,junho,1,2022
2022-02-02,quarta-feira,abril,1,2022
2022-02-03,sábado,julho,1,2022
2022-02-04,quinta-feira,maio,1,2022
2022-02-05,segunda-feira,dezembro,1,2022
2022-02-06,sexta-feira,junho,1,2022
2022-02-07,quinta-feira,outubro,1,2022
2022-02-08,sábado,julho,1,2022
2022-02-09,terça-feira,dezembro,1,2022
2022-02-10,domingo,setembro,1,2022
2022-02-11,quarta-feira,maio,1,2022
2022-02-12,domingo,março,1,2022
2022-02-13,terça-feira,janeiro,1,2022
2022-02-14,segunda-feira,outubro,1,2022
2022-02-15,terça-feira,outubro,1,2022
2022-02-16,quarta-feira,abril,1,2022
2022-02-17,domingo,junho,1,2022
2022-02-18,sábado,janeiro,1,2022
2022-02-19,terça-feira,janeiro,1,2022
2022-02-20,quarta-feira,janeiro,1,2022
2022-02-21,sexta-feira,julho,1,2022
2022-02-22,quarta-feira,julho,1,2022
2022-02-23,quinta-feira,outubro,1,2022
2022-02-24,sábado,novembro,1,2022
2022-02-25,quinta-feira,outubro,1,2022
2022-02-26,terça-feira,março,1,2022
2022-02-27,terça-feira,maio,1,2022
2022-02-28,sexta-feira,agosto,1,2022
2022-03-01,quinta-feira,novembro,1,2022
2022-03-02,terça-feira,novembro,1,2022
2022-03-03,segunda-feira,setembro,1,2022
2022-03-04,quarta-feira,maio,1,2022
2022-03-05,segunda-feira,novembro,1,2022
2022-03-06,quarta-feira,agosto,1,2022
2022-03-07,sexta-feira,julho,1,2022
2022-03-08,quinta-feira,abril,1,2022
2022-03-09,sábado,março,1,2022
2022-03-10,sexta-feira,abril,1,2022
2022-03-11,terça-feira,agosto,1,2022
2022-03-12,sábado,junho,1,2022
2022-03-13,domingo,julho,1,2022
2022-03-14,domingo,dezembro,1,2022
2022-03-15,terça-feira,março,1,2022
2022-03-16,domingo,outubro,1,2022
2022-03-17,sábado,outubro,1,2022
2022-03-18,quarta-feira,julho,1,2022
2022-03-19,terça-feira,julho,1,2022
2022-03-20,domingo,setembro,1,2022
2022-03-21,segunda-feira,maio,1,2022
2022-03-22,domingo,janeiro,1,2022
2022-03-23,domingo,junho,1,2022
2022-03-24,terça-feira,outubro,1,2022
2022-03-25,segunda-feira,junho,1,2022
2022-03-26,sexta-feira,setembro,1,2022
2022-03-27,sábado,agosto,1,2022
2022-03-28,quinta-feira,setembro,1,2022
2022-04-01,domingo,abril,2,2022
2022-04-02,sábado,junho,2,2022
2022-04-03,quinta-feira,janeiro,2,2022
2022-04-04,segunda-feira,setembro,2,2022
2022-04-05,domingo,outubro,2,2022
2022-04-06,quinta-feira,junho,2,2022
2022-04-07,domingo,abril,2,2022
2022-04-08,quarta-feira,junho,2,2022
2022-04-09,sexta-feira,outubro,2,2022
2022-04-10,segunda-feira,janeiro,2,2022
2022-04-11,terça-feira,maio,2,2022
2022-04-12,domingo,setembro,2,2022
2022-04-13,quarta-feira,dezembro,2,2022
2022-04-14,domingo,novembro,2,2022
2022-04-15,domingo,dezembro,2,2022
2022-04-16,sábado,dezembro,2,2022
2022-04-17,terça-feira,julho,2,2022
2022-04-18,sábado,março,2,2022
2022-04-19,quarta-feira,outubro,2,2022
2022-04-20,quarta-feira,fevereiro,2,2022
2022-04-21,quinta-feira,março,2,2022
2022-04-22,terça-feira,dezembro,2,2022
2022-04-23,quinta-feira,outubro,2,2022
2022-04-24,domingo,fevereiro,2,2022
2022-04-25,terça-feira,novembro,2,2022
2022-04-26,quinta-feira,outubro,2,2022
2022-04-27,sábado,outubro,2,2022
2022-04-28,quarta-feira,julho,2,2022
2022-05-01,segunda-feira,maio,2,2022
2022-05-02,terça-feira,novembro,2,2022
2022-05-03,terça-feira,abril,2,2022
2022-05-04,terça-feira,agosto,2,2022
2022-05-05,terça-feira,dezembro,2,2022
2022-05-06,segunda-feira,setembro,2,2022
2022-05-07,terça-feira,outubro,2,2022
2022-05-08,sexta-feira,março,2,2022
2022-05-09,sexta-feira,abril,2,2022
2022-05-10,sexta-feira,março,2,2022
2022-05-11,terça-feira,abril,2,2022
2022-05-12,segunda-feira,junho,2,2022
2022-05-13,sexta-feira,setembro,2,2022
2022-05-14,sexta-feira,maio,2,2022
2022-05-15,domingo,agosto,2,2022
2022-05-16,quinta-feira,novembro,2,2022
2022-05-17,sábado,março,2,2022
2022-05-18,sexta-feira,setembro,2,2022
2022-05-19,segunda-feira,maio,2,2022
2022-05-20,sábado,dezembro,2,2022
2022-05-21,quinta-feira,janeiro,2,2022
2022-05-22,sexta-feira,novembro,2,2022
2022-05-23,segunda-feira,setembro,2,2022
2022-05-24,quarta-feira,maio,2,2022
2022-05-25,segunda-feira,dezembro,2,2022
2022-05-26,segunda-feira,fevereiro,2,2022
2022-05-27,quinta-feira,abril,2,2022
2022-05-28,segunda-feira,fevereiro,2,2022
2022-06-01,sábado,maio,2,2022
2022-06-02,quarta-feira,fevereiro,2,2022
2022-06-03,quarta-feira,abril,2,2022
2022-06-04,terça-feira,fevereiro,2,2022
2022-06-05,segunda-feira,novembro,2,2022
2022-06-06,segunda-feira,junho,2,2022
2022-06-07,quarta-feira,abril,2,2022
2022-06-08,terça-feira,agosto,2,2022
2022-06-09,quarta-feira,maio,2,2022
2022-06-10,terça-feira,setembro,2,2022
2022-06-11,quarta-feira,março,2,2022
2022-06-12,quinta-feira,março,2,2022
2022-06-13,segunda-feira,julho,2,2022
2022-06-14,domingo,maio,2,2022
2022-06-15,sábado,fevereiro,2,2022
2022-06-16,sexta-feira,agosto,2,2022
2022-06-17,sábado,junho,2,2022
2022-06-18,domingo,maio,2,2022
2022-06-19,quinta-feira,agosto,2,2022
2022-06-20,quarta-feira,maio,2,2022
2022-06-21,terça-feira,abril,2,2022
2022-06-22,domingo,junho,2,2022
2022-06-23,terça-feira,janeiro,2,2022
2022-06-24,terça-feira,junho,2,2022
2022-06-25,segunda-feira,agosto,2,2022
2022-06-26,quinta-feira,junho,2,2022
2022-06-27,domingo,julho,2,2022
2022-06-28,sábado,setembro,2,2022
2022-07-01,domingo,agosto,3,2022
2022-07-02,segunda-feira,fevereiro,3,2022
2022-07-03,terça-feira,novembro,3,2022
2022-07-04,quarta-feira,agosto,3,2022
