ProdutoID,Produto,Categoria,PrecoUnitario,Custo,QtdEstoque
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Teclado Mecânico,Acessórios Informática,601.09,2229.82,125
23b8c1e9-3924-46de-beb1-3b9046685257,Mouse Sem Fio,Acessórios Informática,1154.89,2214.68,346
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Mouse Gamer,Acessórios Informática,3716.31,1645.19,302
972a8469-1641-4f82-8b9d-2434e465e150,Headset Gamer,Acessórios Informática,2138.51,108.8,111
17fc695a-07a0-4a6e-8822-e8f36c031199,Hub USB,Acessórios Informática,1201.67,1814.02,287
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Cabo HDMI,Acessórios Informática,1034.25,1956.66,279
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Cadeira Gamer,Acessórios Informática,2126.62,1358.64,142
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Monitor Suporte,Acessórios Informática,4056.68,39.37,412
47378190-96da-4dac-b2ff-5d2a386ecbe0,Base para Notebook,Acessórios Informática,840.31,1279.39,142
c241330b-01a9-471f-9e8a-774bcf36d58b,Adaptador USB,Acessórios Informática,819.62,2872.49,172
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Smartwatch,Tecnologia,555.94,1152.18,183
371ecd7b-27cd-4130-8722-9389571aa876,Assistente Virtual,Tecnologia,4245.1,1819.1,413
1a2a73ed-562b-4f79-8374-59eef50bea63,Carregador Rápido,Tecnologia,265.08,1389.09,63
5be6128e-18c2-4797-a142-ea7d17be3111,Tablet,Tecnologia,4866.92,1148.03,282
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,HD Externo,Tecnologia,1501.23,1893.35,453
759cde66-bacf-43d0-8b1f-9163ce9ff57f,SSD,Tecnologia,4315.45,1740.51,360
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Power Bank,Tecnologia,394.3,1990.56,395
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Projetor Portátil,Tecnologia,1482.47,257.78,119
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Drone,Tecnologia,4339.09,1152.78,232
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Echo Dot,Tecnologia,3196.64,1107.2,189
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Console PS5,Games,1808.59,2017.12,359
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Console Xbox Series X,Games,4686.44,1951.15,311
