VendaID,DataVenda,ProdutoID,ClienteID,Região,Canal,Quantidade,Receita
V001,2024-04-07,P008,C013,São Paulo,Loja Física,4,1193.73
V002,2023-02-22,P048,C053,Minas Gerais,Online,10,2167.42
V003,2022-12-17,P002,C048,Tocantins,Online,9,3049.89
V004,2024-06-25,P036,C102,Rio de Janeiro,Loja Física,4,2301.12
V005,2023-06-29,P018,C415,Acre,Online,7,1767.23
V006,2023-06-06,P010,C111,Paraná,Loja Física,2,554.45
V007,2023-05-20,P007,C184,Paraíba,Loja Física,1,3675.69
V008,2023-03-16,P035,C064,Pernambuco,Online,9,1536.57
V009,2024-06-22,P041,C317,Paraíba,Online,2,324.54
V010,2023-02-15,P015,C396,Ceará,Online,4,4345.77
V011,2024-05-06,P025,C143,Rio Grande do Norte,Loja Física,3,1913.89
V012,2024-06-25,P014,C344,Bahia,Online,10,3211.39
V013,2024-10-20,P035,C374,Alagoas,Online,8,1959.33
V014,2024-01-25,P060,C328,Rio de Janeiro,Online,6,4229.97
V015,2023-02-03,P050,C029,Alagoas,Online,6,2065.71
V016,2024-02-29,P005,C109,Mato Grosso,Loja Física,4,3311.65
V017,2023-10-21,P026,C453,Espírito Santo,Loja Física,3,1397.91
V018,2022-12-22,P016,C382,Goiás,Loja Física,10,2199.33
V019,2022-12-21,P038,C205,Paraíba,Online,3,2596.68
V020,2023-02-08,P006,C387,Amapá,Online,3,3174.49
V021,2023-05-16,P051,C349,Piauí,Online,7,1969.93
V022,2023-05-27,P030,C271,Bahia,Online,2,3440.38
V023,2023-12-25,P035,C385,Bahia,Loja Física,2,1538.15
V024,2024-03-09,P011,C233,Acre,Loja Física,9,3833.61
V025,2022-12-18,P033,C468,Pará,Loja Física,9,3083.95
V026,2024-02-06,P010,C192,Paraná,Online,9,4772.15
V027,2023-05-01,P060,C272,Acre,Loja Física,8,195.44
V028,2024-06-06,P060,C186,Santa Catarina,Loja Física,4,383.83
V029,2024-04-15,P057,C291,Amazonas,Online,8,4098.51
V030,2024-05-25,P049,C273,Paraná,Online,3,3332.78
V031,2024-01-25,P036,C085,Bahia,Loja Física,4,4651.68
V032,2023-10-19,P049,C374,Rio de Janeiro,Online,5,2055.06
V033,2023-05-18,P043,C333,Paraíba,Loja Física,9,2312.28
V034,2023-11-11,P016,C116,Amazonas,Loja Física,1,2982.71
V035,2024-02-28,P015,C302,Alagoas,Online,2,3568.42
V036,2023-07-02,P004,C118,Amazonas,Online,6,447.2
V037,2024-08-17,P016,C143,Minas Gerais,Loja Física,4,2742.25
V038,2024-10-03,P047,C479,Mato Grosso,Loja Física,4,3944.64
V039,2022-12-03,P052,C209,Tocantins,Online,2,3329.02
V040,2024-07-09,P023,C217,Piauí,Loja Física,1,3399.49
V041,2024-08-14,P042,C051,Amapá,Loja Física,6,4022.9
V042,2023-04-01,P007,C128,Tocantins,Online,9,2298.21
V043,2024-05-23,P028,C094,Bahia,Loja Física,4,4384.98
V044,2023-10-22,P005,C227,Rio Grande do Sul,Online,1,3295.51
V045,2023-08-19,P035,C429,Acre,Online,4,914.92
V046,2023-07-01,P032,C247,Tocantins,Loja Física,1,906.72
V047,2023-03-28,P001,C200,Bahia,Loja Física,5,2172.74
V048,2023-05-14,P047,C402,Goiás,Loja Física,3,1030.5
V049,2024-07-13,P014,C496,Amapá,Online,6,380.11
V050,2023-08-16,P038,C245,Distrito Federal,Online,1,4807.82
V051,2023-02-15,P006,C436,Roraima,Online,10,433.01
V052,2023-02-08,P056,C121,Pernambuco,Online,10,1306.46
V053,2023-09-19,P039,C021,Mato Grosso do Sul,Online,7,3321.13
V054,2023-02-11,P037,C268,Maranhão,Loja Física,4,3381.66
V055,2023-09-02,P021,C123,Bahia,Loja Física,3,3391.28
V056,2024-09-16,P020,C235,Maranhão,Online,1,2345.6
V057,2023-08-22,P037,C052,Amazonas,Online,9,1399.48
V058,2024-03-10,P060,C179,Amazonas,Online,6,1496.44
V059,2023-06-21,P029,C427,Goiás,Loja Física,10,4920.88
V060,2024-08-15,P052,C335,Distrito Federal,Online,9,1566.96
V061,2022-12-31,P043,C054,Rondônia,Loja Física,2,4459.59
V062,2024-06-16,P048,C284,Rondônia,Loja Física,5,3063.67
V063,2023-11-19,P046,C176,Tocantins,Loja Física,9,2493.81
V064,2024-01-18,P058,C465,Amapá,Online,7,4163.81
V065,2023-03-04,P003,C002,Maranhão,Online,5,891.75
V066,2024-11-13,P029,C283,Rio de Janeiro,Loja Física,9,147.38
V067,2023-09-18,P005,C484,Rio de Janeiro,Online,9,276.54
V068,2023-01-28,P024,C299,Goiás,Online,7,724.48
V069,2024-01-30,P020,C187,Rio Grande do Sul,Online,6,1129.38
V070,2023-07-13,P016,C342,Pará,Loja Física,9,4432.26
V071,2024-09-02,P027,C499,Mato Grosso do Sul,Online,4,4336.57
V072,2024-03-30,P052,C416,Roraima,Loja Física,1,978.87
V073,2024-03-22,P060,C171,Rio Grande do Sul,Loja Física,4,1407.35
V074,2024-10-15,P051,C360,Pará,Loja Física,1,4307.11
V075,2024-09-27,P015,C103,Santa Catarina,Loja Física,6,1595.44
V076,2023-09-04,P051,C447,Alagoas,Online,1,3334.16
V077,2024-02-19,P026,C169,Bahia,Online,5,1820.62
V078,2023-04-26,P033,C205,Minas Gerais,Loja Física,1,665.17
V079,2024-05-28,P017,C092,Mato Grosso,Loja Física,1,631.17
V080,2023-01-21,P028,C177,São Paulo,Loja Física,7,3070.42
V081,2023-01-02,P033,C060,Pernambuco,Online,5,317.49
V082,2024-04-24,P028,C001,Distrito Federal,Online,6,2213.36
V083,2023-05-24,P043,C472,Maranhão,Loja Física,2,3626.8
V084,2024-07-20,P020,C260,Ceará,Loja Física,6,2071.76
V085,2023-07-10,P019,C284,Rondônia,Online,7,3358.15
V086,2023-01-28,P025,C347,São Paulo,Online,10,2888.62
V087,2024-09-22,P026,C281,Santa Catarina,Online,5,1505.88
V088,2023-05-27,P028,C403,Mato Grosso,Loja Física,8,2264.75
V089,2024-10-01,P044,C110,Distrito Federal,Loja Física,3,3328.37
V090,2023-02-14,P019,C264,Minas Gerais,Loja Física,2,4110.27
V091,2023-09-19,P049,C121,Minas Gerais,Loja Física,4,4052.16
V092,2023-07-01,P010,C013,Amapá,Online,8,3095.24
V093,2023-11-15,P050,C038,Rio Grande do Norte,Loja Física,10,1052.73
V094,2024-04-04,P045,C197,Sergipe,Loja Física,4,823.1
V095,2024-09-05,P045,C003,Paraná,Online,7,1172.32
V096,2023-09-07,P052,C491,Rio de Janeiro,Loja Física,1,2831.29
V097,2023-04-03,P059,C435,Pará,Loja Física,3,4026.94
V098,2023-09-11,P043,C272,Goiás,Loja Física,8,3102.0
V099,2023-08-30,P047,C457,Distrito Federal,Loja Física,9,2284.98
V100,2023-05-09,P011,C381,Sergipe,Loja Física,5,3783.71
V101,2024-05-01,P054,C327,Bahia,Loja Física,4,1445.53
V102,2023-06-23,P005,C366,Ceará,Online,5,1745.65
V103,2024-05-26,P058,C277,Amazonas,Online,3,1233.18
V104,2024-11-24,P045,C079,Rio de Janeiro,Online,2,2132.85
V105,2024-05-11,P022,C278,Rio Grande do Norte,Loja Física,1,1113.49
V106,2024-04-14,P027,C200,Paraná,Online,10,1963.87
V107,2023-01-22,P001,C483,Paraíba,Loja Física,7,4281.89
V108,2024-03-15,P054,C215,Goiás,Online,8,1175.17
V109,2024-04-04,P028,C249,Acre,Loja Física,6,3377.48
V110,2023-04-09,P052,C208,São Paulo,Online,8,4605.75
V111,2024-01-16,P040,C274,Acre,Loja Física,10,2865.52
V112,2024-06-16,P002,C043,Espírito Santo,Loja Física,3,4347.57
V113,2023-06-06,P012,C026,Bahia,Loja Física,6,1137.14
V114,2023-04-03,P021,C173,Paraná,Loja Física,5,3784.85
V115,2023-11-22,P054,C216,Bahia,Online,8,194.98
V116,2023-09-18,P035,C027,Paraíba,Online,2,3928.04
V117,2023-06-25,P042,C021,Paraná,Online,4,1076.87
V118,2024-11-15,P002,C319,Rondônia,Online,3,2420.45
V119,2024-04-08,P008,C289,Tocantins,Loja Física,5,3857.8
