OrderID,OrderDate,ProductID,CustomerID,Region,Channel,Quantity,Revenue
O001,2023-07-18,P011,C376,Rio Grande do Sul,Loja Física,3,785.8
O002,2023-05-09,P035,C251,Roraima,Online,9,265.74
O003,2024-07-14,P055,C039,Santa Catarina,Online,1,2120.72
O004,2023-03-12,P054,C323,Alagoas,Online,3,144.79
O005,2024-07-11,P033,C234,Paraíba,Online,10,3224.87
O006,2023-06-12,P060,C316,Sergipe,Loja Física,1,132.4
O007,2023-07-08,P036,C211,Acre,Online,9,3638.74
O008,2023-08-07,P035,C147,Acre,Loja Física,3,624.38
O009,2023-02-27,P007,C269,Rondônia,Online,4,3136.93
O010,2022-12-02,P017,C418,Paraíba,Loja Física,7,487.19
O011,2023-12-17,P026,C236,Mato Grosso,Online,4,1569.88
O012,2024-06-28,P053,C435,Amazonas,Online,2,2085.86
O013,2023-10-26,P025,C283,Sergipe,Online,1,3543.94
O014,2023-04-11,P006,C256,Piauí,Loja Física,10,4888.91
O015,2023-03-06,P007,C459,Distrito Federal,Online,4,1135.94
O016,2023-09-17,P056,C355,Mato Grosso,Loja Física,5,328.15
O017,2024-01-13,P005,C351,Bahia,Online,3,4650.96
O018,2024-05-25,P021,C009,Tocantins,Online,7,4651.49
O019,2023-05-23,P020,C084,Mato Grosso,Online,10,4189.79
O020,2023-12-19,P025,C347,Goiás,Loja Física,7,3802.49
O021,2024-02-02,P009,C405,Rio de Janeiro,Online,9,3752.74
O022,2024-09-03,P023,C028,Pará,Loja Física,4,4209.51
O023,2024-04-27,P022,C310,Paraná,Loja Física,6,245.17
O024,2024-08-13,P018,C402,Rio Grande do Norte,Loja Física,4,1843.47
O025,2023-08-28,P025,C222,Roraima,Loja Física,2,3883.62
O026,2023-01-20,P019,C409,Alagoas,Online,2,1413.06
O027,2023-09-30,P025,C365,Rio Grande do Sul,Online,7,1651.72
O028,2024-09-25,P007,C047,Acre,Loja Física,8,1863.6
O029,2024-06-24,P018,C053,Rondônia,Online,3,2211.8
O030,2022-12-28,P036,C285,Distrito Federal,Loja Física,2,228.68
O031,2023-10-30,P023,C284,Amazonas,Loja Física,7,160.47
O032,2022-12-10,P027,C199,Paraná,Online,9,4535.52
O033,2023-11-18,P016,C293,Distrito Federal,Online,7,930.56
O034,2024-11-10,P018,C155,Bahia,Loja Física,3,410.01
O035,2023-01-25,P028,C142,Piauí,Loja Física,8,3935.07
O036,2024-09-25,P024,C129,Alagoas,Loja Física,10,3121.68
O037,2023-07-27,P030,C055,Rondônia,Loja Física,1,4749.23
O038,2024-02-16,P022,C431,Mato Grosso do Sul,Loja Física,6,2257.09
O039,2023-10-25,P028,C418,Santa Catarina,Online,5,1671.26
O040,2024-02-14,P045,C103,Sergipe,Loja Física,3,4826.42
O041,2023-10-06,P021,C150,São Paulo,Loja Física,10,3931.67
O042,2024-05-30,P021,C193,Bahia,Loja Física,6,658.05
O043,2024-04-06,P037,C103,Mato Grosso,Online,9,231.89
O044,2023-10-16,P047,C237,Rio de Janeiro,Online,8,4008.66
O045,2023-07-08,P054,C355,Amazonas,Loja Física,8,781.98
O046,2023-02-23,P020,C124,Bahia,Online,7,3966.48
O047,2023-10-06,P005,C230,Mato Grosso do Sul,Loja Física,10,2063.94
O048,2022-12-12,P033,C473,Rio de Janeiro,Loja Física,9,280.15
O049,2023-08-05,P024,C360,Rio Grande do Sul,Online,2,3867.87
O050,2023-04-08,P043,C341,Paraíba,Online,10,317.05
O051,2024-08-09,P042,C347,Espírito Santo,Loja Física,6,4832.01
O052,2024-03-20,P028,C055,Acre,Online,5,1187.81
O053,2023-11-18,P048,C266,Goiás,Online,8,1933.19
O054,2024-09-02,P030,C396,Minas Gerais,Online,6,4988.74
O055,2024-05-14,P031,C054,Ceará,Loja Física,2,668.74
O056,2024-11-09,P047,C073,Paraíba,Loja Física,6,2331.13
O057,2023-09-03,P014,C267,Sergipe,Loja Física,8,578.35
O058,2023-02-02,P047,C357,Rio Grande do Norte,Loja Física,2,1571.29
O059,2023-10-31,P052,C364,Pará,Online,6,3275.05
O060,2024-09-11,P044,C410,Roraima,Online,9,954.82
O061,2023-02-16,P011,C170,Goiás,Loja Física,8,1236.09
O062,2023-06-02,P026,C323,Roraima,Online,7,2038.35
O063,2023-10-30,P048,C315,Tocantins,Loja Física,10,2204.81
O064,2024-02-26,P001,C361,Tocantins,Online,5,3786.39
O065,2023-10-03,P052,C408,Amazonas,Online,9,1016.1
O066,2024-01-06,P021,C101,Rio Grande do Norte,Online,5,3386.44
O067,2023-01-26,P032,C271,Espírito Santo,Loja Física,10,2004.33
O068,2023-09-29,P026,C301,Pará,Loja Física,6,4243.04
O069,2024-10-02,P040,C089,Santa Catarina,Loja Física,10,2991.82
O070,2023-07-24,P044,C069,Maranhão,Online,4,1596.36
O071,2024-06-27,P012,C192,Rio de Janeiro,Online,9,2003.47
O072,2023-08-16,P039,C071,Mato Grosso,Loja Física,7,1010.19
O073,2023-05-17,P041,C276,Rio de Janeiro,Online,9,917.64
O074,2023-08-11,P019,C072,Roraima,Loja Física,8,3135.11
O075,2024-07-23,P056,C184,Acre,Loja Física,3,1056.13
O076,2023-04-05,P025,C494,Goiás,Loja Física,7,3455.01
O077,2023-01-24,P027,C364,Santa Catarina,Loja Física,8,919.54
O078,2023-12-27,P037,C016,Rio Grande do Sul,Online,5,260.21
O079,2024-03-31,P015,C276,Ceará,Online,8,2871.69
O080,2023-02-22,P050,C393,Sergipe,Online,10,659.61
O081,2024-01-12,P050,C279,Santa Catarina,Loja Física,9,4130.79
O082,2023-12-27,P003,C390,São Paulo,Loja Física,9,1170.86
O083,2023-04-25,P028,C053,São Paulo,Online,5,4386.57
O084,2024-10-29,P003,C231,Bahia,Loja Física,2,2251.44
O085,2024-07-20,P008,C398,Rio Grande do Sul,Online,4,4072.44
O086,2023-08-24,P038,C353,Paraíba,Loja Física,3,3119.14
O087,2023-08-25,P051,C106,Santa Catarina,Online,1,2893.36
O088,2024-06-12,P035,C144,Mato Grosso do Sul,Online,6,4897.1
O089,2024-08-23,P019,C149,Mato Grosso,Loja Física,9,4928.89
O090,2024-04-10,P044,C418,Pará,Online,7,4601.97
O091,2024-08-20,P018,C444,Espírito Santo,Online,3,1323.42
O092,2023-03-20,P046,C165,Santa Catarina,Online,7,2498.35
O093,2023-05-28,P037,C324,Bahia,Loja Física,7,2314.76
O094,2023-02-13,P041,C407,Paraná,Online,7,2626.51
O095,2023-03-19,P018,C356,Paraíba,Loja Física,8,1703.72
O096,2023-06-12,P001,C445,Paraná,Online,8,3210.72
O097,2023-04-28,P045,C184,Amazonas,Loja Física,4,4843.83
O098,2023-04-09,P053,C109,Sergipe,Loja Física,6,4158.88
O099,2024-03-07,P022,C281,Mato Grosso,Online,10,4276.87
O100,2023-03-24,P051,C176,Minas Gerais,Online,1,587.92
O101,2024-07-08,P051,C429,Rio Grande do Norte,Online,2,4654.22
O102,2024-07-07,P011,C226,Rio Grande do Norte,Online,7,1091.36
O103,2024-04-18,P045,C466,Rondônia,Loja Física,3,4384.67
O104,2023-01-23,P057,C141,Amazonas,Loja Física,5,503.86
O105,2023-04-12,P043,C463,Espírito Santo,Online,1,2042.07
O106,2024-07-18,P020,C372,Rio de Janeiro,Online,7,3311.88
O107,2024-03-27,P046,C049,Acre,Online,8,481.9
O108,2023-12-14,P038,C116,Distrito Federal,Loja Física,1,139.51
O109,2023-11-21,P022,C419,Pará,Loja Física,3,2440.73
O110,2024-07-03,P015,C197,Amazonas,Online,2,1635.42
O111,2024-02-06,P057,C154,Rondônia,Loja Física,3,3243.72
O112,2024-07-08,P044,C074,Amazonas,Online,10,3285.1
O113,2024-02-19,P029,C180,São Paulo,Online,3,4607.48
O114,2023-11-09,P040,C352,Rio Grande do Norte,Online,2,4493.31
O115,2024-05-08,P009,C386,Pará,Loja Física,6,4819.92
O116,2024-11-12,P021,C406,Rondônia,Online,5,3258.64
O117,2024-10-11,P016,C284,Mato Grosso do Sul,Loja Física,1,4254.67
O118,2024-02-07,P043,C449,Ceará,Online,9,3073.94
O119,2024-04-08,P013,C383,Pernambuco,Loja Física,1,3940.63
O120,2024-04-02,P051,C489,Alagoas,Loja Física,7,652.44
O121,2024-03-25,P032,C327,Mato Grosso do Sul,Online,9,4454.75
O122,2023-08-04,P001,C185,Maranhão,Online,7,4317.99
O123,2024-09-27,P037,C216,Paraíba,Online,8,4776.82
O124,2024-03-27,P050,C038,Acre,Online,1,1384.71
O125,2023-07-29,P003,C473,Amapá,Loja Física,9,1503.79
O126,2023-03-23,P046,C257,Paraná,Loja Física,7,3538.87
O127,2023-11-02,P006,C328,Goiás,Online,5,509.63
O128,2023-01-18,P006,C262,Tocantins,Online,9,1701.08
O129,2023-11-25,P038,C325,Paraná,Online,5,3523.51
O130,2023-11-04,P047,C489,Alagoas,Online,4,522.44
O131,2024-03-30,P028,C060,Rio Grande do Norte,Online,5,3363.79
O132,2023-07-19,P043,C380,Roraima,Online,1,3568.71
